t(s),Flux through surface 254,Flux through surface 475,Flux through surface 268,Flux through surface 470,Flux through surface 255,Flux through surface 269,Flux through surface 471,Flux through surface 477,Flux through surface 479,Flux through surface 472,Flux through surface 473,Flux through surface 481,Flux through surface 494,Flux through surface 483,Flux through surface 499,Flux through surface 504,Flux through surface 506,Flux through surface 500,Flux through surface 501,Flux through surface 508,Flux through surface 502,Flux through surface 510,Flux through surface 552,Flux through surface 512,Maximum volume 1,Maximum volume 32,Maximum volume 31,Maximum volume 2,Maximum volume 3,Maximum volume 4,Maximum volume 5,Maximum volume 6,Maximum volume 7,Maximum volume 8,Maximum volume 9,Maximum volume 10,Maximum volume 11,Maximum volume 12,Maximum volume 13,Maximum volume 14,Maximum volume 15,Maximum volume 16,Maximum volume 17,Maximum volume 18,Maximum volume 19,Maximum volume 20,Maximum volume 21,Maximum volume 22,Maximum volume 23,Maximum volume 24,Maximum volume 25,Maximum volume 26,Maximum volume 27,Maximum volume 28,Maximum volume 29,Maximum volume 30
0,1166.794044154,37.2101256732,76.8811895508,32.1957230528,86.0980333091,1217.9415820034,524.0131857956,513.2437951852,10255.2427215183,10371.9976254823,505.0836582283,510.6778018045,29.5390045115,39.3129241099,-212.7934314805,-204.2575011156,100.8596466168,99.2329918294,2134.6468121406,2114.626053453,104.2340648482,105.4186697394,-183.5238424641,-142.4582688985,815.6111808214,858.9843067578,859.3052626689,757.4305475591,677.797587106,755.0829871542,758.2779922183,763.748150806,763.2928772689,721.8663847622,750.1589036898,757.2394432356,761.1602484783,754.2834771272,741.3261765923,728.7718753833,717.8385549639,706.2046212802,695.333762878,686.1133072619,678.322184459,670.8895791104,663.5295701093,658.1064506395,652.3627859,654.3404847308,763.3149350405,780.1273217904,773.8450862891,784.0528211674,808.5518655369,734.3803294387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t(s),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 254,1166.794044154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 475,37.2101256732,,Maximum volume 1,815.6111808214,LiPb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 268,76.8811895508,,Maximum volume 32,858.9843067578,859.3052626689,586.1552626689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 470,32.1957230528,,Maximum volume 31,859.3052626689,Eurofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 255,86.0980333091,,Maximum volume 2,757.4305475591,808.5518655369,535.4018655369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 269,1217.9415820034,,Maximum volume 3,677.797587106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 471,524.0131857956,,Maximum volume 4,755.0829871542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 477,513.2437951852,,Maximum volume 5,758.2779922183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 479,10255.2427215183,,Maximum volume 6,763.748150806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 472,10371.9976254823,,Maximum volume 7,763.2928772689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 473,505.0836582283,,Maximum volume 8,721.8663847622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 481,510.6778018045,,Maximum volume 9,750.1589036898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 494,29.5390045115,,Maximum volume 10,757.2394432356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 483,39.3129241099,,Maximum volume 11,761.1602484783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 499,-212.7934314805,,Maximum volume 12,754.2834771272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 504,-204.2575011156,,Maximum volume 13,741.3261765923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 506,100.8596466168,,Maximum volume 14,728.7718753833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 500,99.2329918294,,Maximum volume 15,717.8385549639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 501,2134.6468121406,,Maximum volume 16,706.2046212802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 508,2114.626053453,,Maximum volume 17,695.333762878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 502,104.2340648482,,Maximum volume 18,686.1133072619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 510,105.4186697394,,Maximum volume 19,678.322184459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 552,-183.5238424641,,Maximum volume 20,670.8895791104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux through surface 512,-142.4582688985,,Maximum volume 21,663.5295701093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 22,658.1064506395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 23,652.3627859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 24,654.3404847308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 25,763.3149350405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 26,780.1273217904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 27,773.8450862891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 28,784.0528211674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 29,808.5518655369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum volume 30,734.3803294387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
