t(s),Flux through surface 27,Flux through surface 22,Flux through surface 21,Custom 1,Custom 2
40000000.0,-3.2428703247480383e-14,-3.2386015635571795e-14,-3.238564557725601e-14,-0.00012098843813911668,0.0
80000000.0,-2.1524832808466683e-14,-2.158266799008054e-14,-2.1608646156499874e-14,-0.00019328665526548223,0.0
120000000.0,-3.931481206085225e-15,-3.931122865477603e-15,-3.9578016773267605e-15,-0.00019514599013222347,0.0
160000000.0,2.1922392275770694e-15,2.2049380370263693e-15,2.1888848343623666e-15,-0.0001740558380536711,0.0
200000000.0,4.176110458101412e-15,4.190263855381111e-15,4.180340176601132e-15,-0.00014697731594322017,0.0
240000000.0,4.672881938643786e-15,4.686115662812661e-15,4.6792261032152014e-15,-0.00011984865762101183,0.0
280000000.0,4.643851061744141e-15,4.6558716193809605e-15,4.650532225360597e-15,-9.46306613288728e-05,0.0
320000000.0,4.4373642943960276e-15,4.4482982280358914e-15,4.443842201109964e-15,-7.185652226852969e-05,0.0
360000000.0,4.1792505211918285e-15,4.189257590638857e-15,4.185378193472909e-15,-5.155572160918574e-05,0.0
400000000.0,3.91447872489973e-15,3.923685155413384e-15,3.920229701231366e-15,-3.3588535311666675e-05,0.0
440000000.0,3.65863554237692e-15,3.667135855941025e-15,3.664018786365639e-15,-1.7766594785458477e-05,0.0
480000000.0,3.416653147490219e-15,3.4245204894458656e-15,3.4216872016855373e-15,-3.895735109891934e-06,0.0
520000000.0,3.1896275154972823e-15,3.1969212796825407e-15,3.19433285498942e-15,8.209364270589067e-06,2.9366388619109795e-14
560000000.0,2.9773167295159883e-15,2.9840870855617444e-15,2.9817135796345155e-15,1.872072054568506e-05,5.404806993910428e-14
600000000.0,2.7789940979834127e-15,2.785284596965958e-15,2.783101820666108e-15,2.7796301202236854e-05,7.241222335452394e-14
640000000.0,2.593826136449468e-15,2.5996752425208533e-15,2.5976630949140804e-15,3.558047603998728e-05,8.69277010108429e-14
