d,T
-0.0,304.0
7.737276304497922e-15,308.0
1.1876273545532156e-14,312.0
1.7743918094857126e-14,316.0
2.621148750888714e-14,320.0
3.8327683864648016e-14,324.0
5.549945823424292e-14,328.0
7.961057291561495e-14,332.0
1.1316134381480005e-13,336.0
1.594408560811811e-13,340.0
2.2273728344211926e-13,344.0
3.0859118788853566e-13,348.0
4.2409555784442924e-13,352.0
5.782440873475913e-13,356.0
7.823252559561391e-13,360.0
1.050353580887846e-12,364.0
1.3995205464776444e-12,368.0
1.850636266864729e-12,372.0
2.428520153262903e-12,376.0
3.1622880279342975e-12,380.0
4.085480366995905e-12,384.0
5.235990388391074e-12,388.0
6.655790178279878e-12,392.0
8.390519910170718e-12,396.0
1.0489084995981133e-11,400.0
1.3003461335570742e-11,404.0
1.5988887945279927e-11,408.0
1.9504495112413484e-11,412.0
2.3614201382453908e-11,416.0
2.8387514108276486e-11,420.0
3.389980604837772e-11,424.0
4.023175990960318e-11,428.0
4.74678959258135e-11,432.0
5.5694281358448404e-11,436.0
6.499556946539813e-11,440.0
7.545143872964413e-11,444.0
8.713237907618375e-11,448.0
1.0009467393130173e-10,452.0
1.1437438566332594e-10,456.0
1.2998016247044716e-10,460.0
1.468847330366615e-10,464.0
1.6501503742416882e-10,468.0
1.8424107556772932e-10,472.0
2.0436378174212363e-10,476.0
2.2510262475559914e-10,480.0
2.4608427333597995e-10,484.0
2.6683461602972735e-10,488.0
2.8677766231855214e-10,492.0
3.052461807857921e-10,496.0
3.2150986994841547e-10,500.0
3.348265367613179e-10,504.0
3.445189338109261e-10,508.0
3.5007334320923434e-10,512.0
3.5124546687991887e-10,516.0
3.481470127692456e-10,520.0
3.41278513073644e-10,524.0
3.314785821071728e-10,528.0
3.1978208732012167e-10,532.0
3.0721427885349526e-10,536.0
2.945774056982872e-10,540.0
2.822914784116224e-10,544.0
2.7032744706399547e-10,548.0
2.5823626393390144e-10,552.0
2.452549299302753e-10,556.0
2.3046991844241827e-10,560.0
2.130279508017932e-10,564.0
1.9238360456353364e-10,568.0
1.6854898328960828e-10,572.0
1.4226816254468585e-10,576.0
1.1501036744497624e-10,580.0
8.870760378892112e-11,584.0
6.527279572735053e-11,588.0
4.607187488921648e-11,592.0
3.159349584525192e-11,596.0
2.148824486284408e-11,600.0
1.4913759219138428e-11,604.0
1.0905801991283078e-11,608.0
8.596958461939985e-12,612.0
7.309844517920114e-12,616.0
6.568904373308029e-12,620.0
6.069952184736853e-12,624.0
5.638326993104283e-12,628.0
5.191480632655377e-12,632.0
4.709094418358669e-12,636.0
4.20840538559036e-12,640.0
3.723063004775681e-12,644.0
3.2864215479253597e-12,648.0
2.9212327164711423e-12,652.0
2.636315320813395e-12,656.0
2.428500542929758e-12,660.0
2.286923907462934e-12,664.0
2.197144782694796e-12,668.0
2.143855914710617e-12,672.0
2.1121080317302654e-12,676.0
2.0875695866958002e-12,680.0
2.056456606930803e-12,684.0
2.005663017053802e-12,688.0
1.9234668200453807e-12,692.0
1.8009950616543485e-12,696.0
1.6343194865824002e-12,700.0
1.426579518305069e-12,704.0
1.1890422050121531e-12,708.0
9.399311350441834e-13,712.0
7.006215814424734e-13,716.0
4.902693626844316e-13,720.0
3.2112532915556526e-13,724.0
1.9658430105199415e-13,728.0
1.1244001951622444e-13,732.0
6.012172721171903e-14,736.0
3.0085693424415813e-14,740.0
1.4109554211804586e-14,744.0
6.210805985759257e-15,748.0
2.569953995690475e-15,752.0
1.0011264925062387e-15,756.0
3.6766846330958457e-16,760.0
1.2747319171496083e-16,764.0
4.1777664638906895e-17,768.0
1.2959269608494891e-17,772.0
3.809435303600785e-18,776.0
1.0624412136300646e-18,780.0
2.8146525075601265e-19,784.0
7.09128347040602e-20,788.0
1.7010027968018536e-20,792.0
3.889217950942632e-21,796.0
8.485784483522944e-22,800.0
1.7688425962100316e-22,804.0
3.526545372862481e-23,808.0
6.732399955424437e-24,812.0
1.2321103760838965e-24,816.0
2.164164738850973e-25,820.0
3.6525544306053725e-26,824.0
5.930299523830412e-27,828.0
9.273448637348278e-28,832.0
1.3983149782124156e-28,836.0
2.035566366375123e-29,840.0
2.8641921526214044e-30,844.0
3.900119945110067e-31,848.0
5.145606277121231e-32,852.0
6.585708639302483e-33,856.0
8.186537394787943e-34,860.0
9.895845424888663e-35,864.0
1.1646117057773281e-35,868.0
1.3359860233948461e-36,872.0
1.4956396766061101e-37,876.0
1.6359180867795052e-38,880.0
1.750261064983924e-39,884.0
1.8337432339426833e-40,888.0
1.8834125526578012e-41,892.0
1.8984022887437246e-42,896.0
1.8798276884999223e-43,900.0
1.8305071628191761e-44,904.0
1.7545651351808852e-45,908.0
1.656978978913591e-46,912.0
1.543127434202032e-47,916.0
1.4183857909677827e-48,920.0
1.2877976404290173e-49,924.0
1.1558374040120466e-50,928.0
1.0262644892332617e-51,932.0
9.020600744657406e-53,936.0
7.854315121762751e-54,940.0
6.778667969340172e-55,944.0
5.802217118342725e-56,948.0
4.9282425493192563e-57,952.0
4.155839205305091e-58,956.0
3.4809669425350517e-59,960.0
2.8973974079595794e-60,964.0
2.397524355937709e-61,968.0
1.9730249000825444e-62,972.0
1.615374310315959e-63,976.0
1.3162267903967364e-64,980.0
1.0676801491771702e-65,984.0
8.624444576694759e-67,988.0
6.939346545623608e-68,992.0
5.56305470144473e-69,996.0
4.444446477123508e-70,1000.0
3.5393773891791813e-71,1004.0
2.8101506432936884e-72,1008.0
2.2248896464531953e-73,1012.0
1.7568732742600343e-74,1016.0
1.3838759716670268e-75,1020.0
1.0875405716969482e-76,1024.0
8.528007807746747e-78,1028.0
6.673621531465713e-79,1032.0
5.212445725631122e-80,1036.0
4.0638530501435304e-81,1040.0
3.1629915734389806e-82,1044.0
2.457908103878482e-83,1048.0
1.9071369435420226e-84,1052.0
1.4776960256774052e-85,1056.0
1.1434341614054747e-86,1060.0
8.836770137925624e-88,1064.0
6.82124460990917e-89,1068.0
5.259575231982517e-90,1072.0
4.0511855522387716e-91,1076.0
3.1173366032899247e-92,1080.0
2.3965109634364463e-93,1084.0
1.840737417826042e-94,1088.0
